id,date,source,headline,sentiment,sentiment_score,label,link
475,2024-08-27,Bitcoin.com News,"Tether CEO Criticizes Durov’s Arrest, States Europe Is ‘Falling Into Dark Ages’",Negative,0.2989,1 stars,https://news.bitcoin.com/tether-ceo-criticizes-durovs-arrest-states-europe-is-falling-into-dark-ages/
476,2024-08-27,Bitcoin.com News,"Crypto Betting Pioneer Cloudbet Gets a Makeover, Promises “Big Moves”",Negative,0.3143,4 stars,https://news.bitcoin.com/crypto-betting-pioneer-cloudbet-gets-a-makeover-promises-big-moves/
477,2024-08-27,Bitcoin.com News,Arkham Intelligence Partners With Coingecko for Enhanced Trading Analytics,Negative,0.3459,4 stars,https://news.bitcoin.com/arkham-intelligence-partners-with-coingecko-for-enhanced-trading-analytics/
478,2024-08-27,Bitcoin.com News,French President Emmanuel Macron Dismisses ‘False Information’ on Pavel Durov’s Arrest; ‘It Is in No Way a Political Decision’,Negative,0.4283,1 stars,https://news.bitcoin.com/french-president-emmanuel-macron-dismisses-false-information-on-pavel-durovs-arrest-it-is-in-no-way-a-political-decision/
597,2024-08-27,CoinSpeaker,MakerDAO Rebrands to SKY Introducing New Stablecoin and Governance Token,Negative,0.2685,1 stars,https://www.coinspeaker.com/makerdao-rebrands-sky/
479,2024-08-27,Bitcoin.com News,Bitcoin’s Rough September Price History Raises Questions for 2024,Negative,0.386,2 stars,https://news.bitcoin.com/bitcoins-rough-september-price-history-raises-questions-for-2024/
480,2024-08-28,Bitcoinist,"Spot Bitcoin ETFs Surges With Massive Inflows, Will This Trigger A Price Spike?",Negative,0.3276,1 stars,https://bitcoinist.com/spot-bitcoin-etfs-surges-with-massive-inflows/
481,2024-08-27,Bitcoinist,Crypto Wealth Boom: Millionaire Population Jumps 95% In One Year — Survey,Negative,0.4665,1 stars,https://bitcoinist.com/crypto-millionaire-population-jumps-95-in-one-year/
482,2024-08-27,Bitcoinist,Telegram CEO Pavel Durov’s Arrest: Experts Assess The Impact On Crypto,Negative,0.4203,1 stars,https://bitcoinist.com/telegram-ceo-pavel-durovs-arrest-impact-crypto/
483,2024-08-27,Bitcoinist,Injective (INJ) Could Target $25 If It Holds Above This Level,Negative,0.2789,4 stars,https://bitcoinist.com/injective-inj-could-target-25-if-it-holds-above-this-level/
484,2024-08-27,Bitcoinist,Husky Inu and Mpeppe Are The Hottest ICO Right Now,Negative,0.3659,4 stars,https://bitcoinist.com/husky-inu-and-mpeppe-are-the-hottest-ico-right-now/
485,2024-08-27,Bitcoinist,Ethereum Bullish Signal: Whales Show $530 Million Buying Spree,Negative,0.2482,3 stars,https://bitcoinist.com/ethereum-bullish-whales-540-million-buying-spree/
486,2024-08-27,Bitcoinist,Husky Inu and Mpeppe Both Predicted To 100x By The End of 2024,Negative,0.3836,4 stars,https://bitcoinist.com/husky-inu-and-mpeppe-both-predicted-to-100x-by-the-end-of-2024/
487,2024-08-27,Bitcoinist,Husky Inu Investors Are Now Purchasing Rising Star Mpeppe For 100x Returns,Negative,0.3432,4 stars,https://bitcoinist.com/husky-inu-investors-are-now-purchasing-rising-star-mpeppe-for-100x-returns/
488,2024-08-27,BitcoinGarden,From Blockchain to Boomtowns: The Economic Impact of Bitcoin SEZs,Negative,0.3549,4 stars,https://bitcoingarden.org/from-blockchain-to-boomtowns-the-economic-impact-of-bitcoin-sezs/
489,2024-08-24,BitcoinGarden,Ordinals Summit Partners with Inscribing Atlantis to Unveil Premier Bitcoin Event During Token2049 in Singapore,Negative,0.4208,4 stars,https://bitcoingarden.org/ordinals-summit-partners-with-inscribing-atlantis-tounveil-premier-bitcoin-event-during-token2049-in-singapore/
490,2024-08-23,BitcoinGarden,Shaping the Future of Ethiopian Banking: Innovation and Excellence at the 15th Edition Connected Banking Summit – Ethiopia 2024,Negative,0.3668,4 stars,https://bitcoingarden.org/shaping-the-future-of-ethiopian-banking-innovation-and-excellence-at-the-15th-edition-connected-banking-summit-ethiopia-2024/
491,2024-08-05,BitcoinGarden,"Crypto Fest 2024: A Unique Celebration of Web3.0 Innovation and Culture in Cape Town, South Africa",Negative,0.4572,4 stars,https://bitcoingarden.org/crypto-fest-2024-a-unique-celebration-of-web3-0-innovation-and-culture-in-cape-town-south-africa/
492,2024-07-30,BitcoinGarden,Decoding Earnings Per Share: Why It Matters to Investors,Negative,0.3658,4 stars,https://bitcoingarden.org/decoding-earnings-per-share-why-it-matters-to-investors/
493,2024-07-24,BitcoinGarden,The Finance Magnates Pacific Summit 2024,Negative,0.42,4 stars,https://bitcoingarden.org/the-finance-magnates-pacific-summit-2024/
494,2024-07-24,BitcoinGarden,15th Edition Connected Banking Summit – Innovation and Excellence Awards 2024; Ethiopia: Ongoing Event Update,Negative,0.3938,4 stars,https://bitcoingarden.org/15th-edition-connected-banking-summit-innovation-and-excellence-awards-2024-ethiopia-ongoing-event-update/
495,2024-07-20,BitcoinGarden,Explore the synergy of blockchain and AI at the brand new virtual Blockchain & AI Expo 2024,Negative,0.4431,4 stars,https://bitcoingarden.org/explore-the-synergy-of-blockchain-and-ai-at-the-brand-new-virtual-blockchain-ai-expo-2024/
496,2024-07-15,BitcoinGarden,"Blockchain Life 2024 in Dubai Unveils First Speakers, Featuring Industry Leaders from Tether, Ledger, TON, Animoca Brands and More",Negative,0.3892,4 stars,https://bitcoingarden.org/blockchain-life-2024-in-dubai-unveils-first-speakers-featuring-industry-leaders-from-tether-ledger-ton-animoca-brands-and-more/
497,2024-07-08,BitcoinGarden,iGaming Platform BC.GAME Signs $40 Million Deal to Become Principal Partner of Leicester City,Negative,0.3281,4 stars,https://bitcoingarden.org/igaming-platform-bc-game-signs-40-million-deal-to-become-principal-partner-of-leicester-city/
498,2024-08-27,Brave New Coin,Acquiring a Car Using Cryptocurrency: Understanding the Process of Buying From Auctions,Negative,0.2718,4 stars,https://bravenewcoin.com/insights/acquiring-a-car-using-cryptocurrency-understanding-the-process-of-buying-from-auctions
499,2024-08-27,Brave New Coin,SubQuery – Decentralized AI Inference Hosting,Negative,0.2955,4 stars,https://bravenewcoin.com/insights/subquery-decentralized-ai-inference-hosting
500,2024-08-27,Brave New Coin,"Sneakers, Suits & Lavish Dinners tied to Trump NFTs",Negative,0.3391,4 stars,https://bravenewcoin.com/insights/sneakers-suits-lavish-dinners-tied-to-trump-nfts
501,2024-08-27,Brave New Coin,"Telegram Founder Arrested, Is Free Speech Under Attack?",Negative,0.3303,1 stars,https://bravenewcoin.com/insights/telegram-founder-arrested-is-free-speech-under-attack
502,2024-08-27,Brave New Coin,"Best Altcoins to Buy Now with Massive Potential – The Top Altcoin Picks with JetBolt, Kaspa, Arbitrum, Celestia, and Toncoin",Negative,0.3173,4 stars,https://bravenewcoin.com/insights/best-altcoins-to-buy-now-with-massive-potential-the-top-altcoin-picks-with-jetbolt-kaspa-arbitrum-celestia-and-toncoin
503,2024-08-27,Brave New Coin,Ex-Goldman Sachs Analyst Predicts a 1000X Surge for These Unexpected Altcoins,Negative,0.2581,4 stars,https://bravenewcoin.com/insights/ex-goldman-sachs-analyst-predicts-a-1000x-surge-for-these-unexpected-altcoins
504,2024-08-27,Brave New Coin,Top 4 AI Cryptos Predicted to Lead the Market With 6000% Gains by 2025,Negative,0.2717,4 stars,https://bravenewcoin.com/insights/top-4-ai-cryptos-predicted-to-lead-the-market-with-6000-gains-by-2025
505,2024-08-27,Brave New Coin,Altcoin Season Alert: 3 Tokens That Could Surpass Solana’s 8000% Rally,Negative,0.3283,4 stars,https://bravenewcoin.com/insights/altcoin-season-alert-3-tokens-that-could-surpass-solanas-8000-rally
506,2024-08-27,Brave New Coin,"TON and NOT Face Uncertainty Amid Durov CEO’s Shocking Detainment, But This Emerging AI Altcoin Remains Resilient",Negative,0.2252,4 stars,https://bravenewcoin.com/insights/ton-and-not-face-uncertainty-amid-durov-ceos-shocking-detainment-but-this-emerging-ai-altcoin-remains-resilient
507,2024-08-27,Brave New Coin,Top 5 Altcoins to Buy Today for Explosive 5000x Returns in Just 3 Months!,Negative,0.266,4 stars,https://bravenewcoin.com/insights/top-5-altcoins-to-buy-today-for-explosive-5000x-returns-in-just-3-months
508,2024-08-27,CoinJournal,Robinhood Wallet has added support for Solana,Negative,0.346,4 stars,https://coinjournal.net/news/robinhood-wallet-has-added-support-for-solana/
509,2024-08-27,CoinJournal,Ethereum falls below $2.6k as whales dump ETH,Negative,0.3693,1 stars,https://coinjournal.net/news/ethereum-falls-below-2-6k-as-whales-dump-eth/
596,2024-08-27,Coinpedia,"These 2 Meme Coins Could Tumble in the Coming Weeks, Steer Clear",Negative,0.3339,2 stars,https://coinpedia.org/press-release/meme-coins-could-tumble-in-coming-weeks-moontaurus-shib/
510,2024-08-27,CoinJournal,Ondo Finance launches its permissionless yieldcoin USDY on Arbitrum,Negative,0.2543,4 stars,https://coinjournal.net/news/ondo-finance-launches-its-permissionless-yieldcoin-usdy-on-arbitrum/
511,2024-08-27,CoinJournal,"TOKEN2049 Singapore exhibition space sold out, very limited delegate tickets remaining",Negative,0.3625,4 stars,https://coinjournal.net/news/token2049-singapore-exhibition-space-sold-out-with-limited-delegate-tickets-remaining/
512,2024-08-27,CoinJournal,"Maker Protocol rebrands to Sky, Dai stablecoin rebranded to USDS",Negative,0.243,4 stars,https://coinjournal.net/news/maker-protocol-rebrands-to-sky-dai-stablecoin-rebranded-to-usds/
513,2024-08-27,CoinJournal,Aave Labs proposes to integrate BlackRock’s BUIDL into GHO Stability Module,Negative,0.3156,3 stars,https://coinjournal.net/news/aave-labs-proposes-to-integrate-blackrocks-buidl-into-gho-stability-module/
514,2024-08-27,CoinJournal,Xapo Bank partners with Hilbert Group to launch $200m Bitcoin hedge fund,Negative,0.2752,1 stars,https://coinjournal.net/news/xapo-bank-partners-with-hilbert-group-to-launch-200m-bitcoin-hedge-fund/
515,2024-08-27,CoinJournal,Celsius repays two-thirds of its creditors,Negative,0.4238,1 stars,https://coinjournal.net/news/celsius-repays-two-thirds-of-its-creditors/
516,2024-08-27,CoinJournal,SEC charges two brothers in $60 million Ponzi scam,Positive,0.5925,1 stars,https://coinjournal.net/news/sec-charges-two-brothers-in-60-million-ponzi-scam/
517,2024-08-27,Coindesk,Bitcoin Price Falls Below $59K Amid Broad Market Rout; Ether Slumps Almost 10%,Negative,0.2666,1 stars,https://www.coindesk.com/markets/2024/08/27/bitcoin-price-falls-below-59k-amid-broad-market-rout-ether-slumps-almost-10/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
518,2024-08-27,Coindesk,"Maker, Now Rebranded to Sky, Draws Ire From DeFi Community on Controversial Stablecoin Change",Negative,0.2405,3 stars,https://www.coindesk.com/tech/2024/08/27/maker-now-rebranded-to-sky-draws-ire-from-defi-community-on-controversial-stablecoin-change/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
519,2024-08-27,Coindesk,BlackRock Lists Ethereum ETF on Brazilian Stock Exchange,Negative,0.3083,1 stars,https://www.coindesk.com/business/2024/08/27/blackrock-lists-ethereum-etf-on-the-brazilian-stock-exchange/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
520,2024-08-27,Coindesk,Pavel Durov: The Imperfect Free Speech Hero,Negative,0.331,5 stars,https://www.coindesk.com/opinion/2024/08/27/pavel-durov-the-imperfect-free-speech-hero/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
521,2024-08-27,Coindesk,"Bitcoin Slides Below $62K as Consolidation Drags on, but Traders Eye Possible Parabolic Rally",Negative,0.241,1 stars,https://www.coindesk.com/markets/2024/08/27/bitcoin-slides-below-62k-as-consolidation-drags-on-but-traders-eye-possible-parabolic-rally/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
522,2024-08-27,Coindesk,Blockchain Data Warehouse Space and Time Raises $20M Series A to Accelerate Development of AI Tools,Negative,0.3595,4 stars,https://www.coindesk.com/business/2024/08/27/blockchain-data-warehouse-space-and-time-raises-20m-series-a-to-accelerate-development-of-ai-tools/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
523,2024-08-27,Coindesk,Trump Unlikely to Drop Out of ABC Debate With Harris Despite Threats: Polymarket Traders,Negative,0.388,5 stars,https://www.coindesk.com/markets/2024/08/27/trump-unlikely-to-drop-out-of-abc-debate-with-harris-despite-threats-polymarket-traders/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
524,2024-08-27,Coindesk,Bitcoin Mining Is So Rough a Miner Adopted Michael Saylor's Successful BTC Strategy,Negative,0.253,3 stars,https://www.coindesk.com/business/2024/08/27/bitcoin-mining-is-so-rough-a-miner-adopted-michael-saylors-successful-btc-strategy/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
525,2024-08-27,Coindesk,Trump Releases Fourth Drop of His NFT Trading Cards,Negative,0.3514,4 stars,https://www.coindesk.com/business/2024/08/27/trump-releases-fourth-drop-of-his-nft-trading-cards/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
526,2024-08-27,Coindesk,"Nasdaq Looks to Offer Bitcoin Options, Following Rival NYSE’s Plans",Negative,0.3222,1 stars,https://www.coindesk.com/markets/2024/08/27/nasdaq-looks-to-offer-bitcoin-options-following-rival-nyses-plans/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
527,2024-08-27,Coindesk,New Zealand to Put OECD Crypto Tax Framework in Place by April 2026,Negative,0.3151,5 stars,https://www.coindesk.com/policy/2024/08/27/new-zealand-to-put-oecd-crypto-tax-framework-in-place-by-april-2026/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
528,2024-08-27,Coindesk,CoinDesk 20 Performance Update: UNI and LINK Decline as Index Slips 1.9%,Negative,0.2846,4 stars,https://www.coindesk.com/coindesk-indices/2024/08/27/coindesk-20-performance-update-uni-and-link-decline-as-index-slips-19/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
529,2024-08-27,Coindesk,The Crypto Bull Market Has Created 88K New Millionaires in 2024: Henley Global,Positive,0.6468,1 stars,https://www.coindesk.com/business/2024/08/27/the-crypto-bull-market-has-created-88k-new-millionaires-in-2024-henley-global/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
530,2024-08-27,Coindesk,Bitcoin Miners Are in M&A Mode: Architect Partners,Negative,0.4098,4 stars,https://www.coindesk.com/business/2024/08/27/bitcoin-mining-sector-is-in-a-consolidation-phase-architect-partners/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
531,2024-08-27,Coindesk,First Mover Americas: Bitcoin Drops as Traders Take Profits,Negative,0.3063,4 stars,https://www.coindesk.com/markets/2024/08/27/first-mover-americas-bitcoin-drops-as-traders-take-profits/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
532,2024-08-27,Coindesk,"MakerDAO Is Now 'Sky' as $7B Crypto Lender Rolls Out New Stablecoin, Governance Token",Negative,0.3398,4 stars,https://www.coindesk.com/business/2024/08/27/makerdao-is-now-sky-as-7b-crypto-lender-rolls-out-new-stablecoin-governance-token/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
533,2024-08-27,Coindesk,Telegram CEO's Arrest Is Unlikely to Be the Last: Galaxy,Negative,0.2274,4 stars,https://www.coindesk.com/policy/2024/08/27/telegram-ceos-arrest-is-unlikely-to-be-the-last-galaxy/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
534,2024-08-27,Coindesk,Crypto Bank Xapo to Manage $200M Bitcoin-Denominated Hedge Fund With Hilbert Capital,Negative,0.2808,4 stars,https://www.coindesk.com/business/2024/08/27/crypto-bank-xapo-to-manage-200m-bitcoin-denominated-hedge-fund-with-hilbert-capital/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
535,2024-08-27,Coindesk,"Telegram Under Scrutiny in India, but Ban Not Imminent: Reports",Negative,0.3568,5 stars,https://www.coindesk.com/policy/2024/08/27/telegram-under-scrutiny-in-india-but-ban-not-imminent-reports/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
536,2024-08-27,Coindesk,Jailed Binance Exec's Nigeria Case to Be Heard a Month Early,Negative,0.3019,3 stars,https://www.coindesk.com/policy/2024/08/27/jailed-binance-execs-nigeria-case-to-be-heard-a-month-early/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
537,2024-08-27,Coindesk,Bitcoin Drops Below $63K on Profit Taking as SafePal’s SPF Gets Points Boost,Negative,0.2565,4 stars,https://www.coindesk.com/markets/2024/08/27/bitcoin-drops-below-63k-on-profit-taking-as-safepals-spf-gets-points-boost/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
538,2024-08-27,Coindesk,"Tokenization Pioneer Centrifuge Unveils Lending Market With Morpho, Coinbase",Negative,0.3576,4 stars,https://www.coindesk.com/business/2024/08/27/tokenization-pioneer-centrifuge-unveils-lending-market-with-morpho-coinbase/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
539,2024-08-27,Coindesk,Crypto Market Has Struggled Since Spot Ether ETFs Started Trading: Citi,Negative,0.3587,1 stars,https://www.coindesk.com/markets/2024/08/27/crypto-market-has-struggled-since-spot-ether-etfs-started-trading-citi/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
540,2024-08-27,Coindesk,Celsius' Bankruptcy Plan Administrator Pays Out Over $2.5B,Positive,0.598,1 stars,https://www.coindesk.com/business/2024/08/27/celsius-bankruptcy-plan-administrator-pays-out-over-25b/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
541,2024-08-27,Coindesk,U.S. SEC Charges Two Brothers in $60M Ponzi Scam Using a Crypto Platform,Negative,0.284,3 stars,https://www.coindesk.com/policy/2024/08/27/us-sec-charges-two-brothers-in-60m-ponzi-scam-using-a-crypto-platform/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
542,2024-08-27,Coindesk,Telegram CEO Pavel Durov Could Be Free by October: Polymarket Bettors,Negative,0.223,1 stars,https://www.coindesk.com/markets/2024/08/27/telegram-ceo-pavel-durov-could-be-free-by-october-polymarket/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
543,2024-08-26,Coindesk,Upstart 'Degenerate' Crypto-Culture Publication Bets on Print,Positive,0.629,5 stars,https://www.coindesk.com/business/2024/08/26/upstart-degenerate-crypto-culture-publication-bets-on-print/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
544,2024-08-26,Coindesk,It’s Time to Build a Sustainable Blockchain Ecosystem,Negative,0.3307,1 stars,https://www.coindesk.com/opinion/2024/08/26/its-time-to-build-a-sustainable-blockchain-ecosystem/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
545,2024-08-26,Coindesk,"Ether ETFs Have Bled Money, but That's Not the Whole Story",Negative,0.4214,2 stars,https://www.coindesk.com/business/2024/08/26/ether-etfs-have-bled-money-but-thats-not-the-whole-story/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
546,2024-08-26,Coindesk,U.S. SEC Settles With Abra Over Unregistered Sales of Securities,Negative,0.3067,4 stars,https://www.coindesk.com/policy/2024/08/26/us-sec-settles-with-abra-over-unregistered-sales-of-securities/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
547,2024-08-26,Coindesk,"SEC’s Case Against Kraken Will Proceed to Trial, California Judge Rules",Negative,0.3186,4 stars,https://www.coindesk.com/policy/2024/08/26/secs-case-against-kraken-will-proceed-to-trial-california-judge-rules/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
548,2024-08-26,Coindesk,PayPal's Stablecoin Hits $1B Market Cap as Incentives Boost Activity on Solana,Negative,0.3163,5 stars,https://www.coindesk.com/markets/2024/08/26/paypals-stablecoin-hits-1b-market-cap-as-incentives-boost-activity-on-solana/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
549,2024-08-26,Coindesk,Tokenized Treasury Funds Pass $2B Market Cap Amid BlackRock’s Explosive Growth,Positive,0.7873,1 stars,https://www.coindesk.com/markets/2024/08/26/tokenized-treasury-funds-pass-2b-market-cap-amid-blackrocks-explosive-growth/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
550,2024-08-26,Coindesk,‘My Living Nightmare’: Detained Binance Exec’s Wife Begs for His Immediate Release,Negative,0.267,3 stars,https://www.coindesk.com/policy/2024/08/26/my-living-nightmare-detained-binance-execs-wife-begs-for-his-immediate-release/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
551,2024-08-26,Coindesk,Accelerating Innovation in the DePIN Sector,Negative,0.3821,2 stars,https://www.coindesk.com/opinion/2024/08/26/accelerating-innovation-in-the-depin-sector/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
552,2024-08-26,Coindesk,Crypto Startup Backed by Likes of Dragonfly Aims to Create Market to Trade Airdrop-Related Points,Negative,0.3017,4 stars,https://www.coindesk.com/tech/2024/08/26/crypto-startup-backed-by-likes-of-dragonfly-aims-to-create-market-to-trade-airdrop-related-points/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
553,2024-08-26,Coindesk,Did RFK Jr. Really 'Drop Out'? Polymarket Bettors Argue Over Contract Resolution,Negative,0.2533,4 stars,https://www.coindesk.com/markets/2024/08/26/did-rfk-jr-really-drop-out-polymarket-bettors-argue-over-contract-resolution/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
554,2024-08-26,Coindesk,The Fed’s Rate Cut Cushion Is Good News for Crypto,Negative,0.2357,1 stars,https://www.coindesk.com/opinion/2024/08/26/the-feds-rate-cut-cushion-is-good-news-for-crypto/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
555,2024-08-26,Coindesk,CoinDesk 20 Performance Update: RNDR and SOL Lead Gains as Index Rises,Negative,0.2492,3 stars,https://www.coindesk.com/coindesk-indices/2024/08/26/coindesk-20-performance-update-rndr-and-sol-lead-gains-as-index-rises/?utm_medium=referral&utm_source=rss&utm_campaign=headlines
